CODE,PRODUCT NAME,DIMENSIONS,COLOUR,WEIGHT( KG),PER BOX QTY,DESCRIPTION,IMAGE,,,,
10243,WAVES,300MM*100MM*60MM,GREY,2.6,5,DOUBLE  SIDE FINISH,,,,,
10244,WAVES,300MM*100MM*60MM,ORANGE,2.7,5,DOUBLE  SIDE FINISH,,,,,
10251,RECTANGLE,300MM*100MM*60MM,RED ,2.5,5,DOUBLE  SIDE FINISH,,,,,
10252,RECTANGLE,300MM*100MM*60MM,WHITE,2.4,5,DOUBLE  SIDE FINISH,,,,,
10253,RECTANGLE,300MM*100MM*60MM,GREY,2.3,5,DOUBLE  SIDE FINISH,,,,,
10254,RECTANGLE,300MM*100MM*60MM,ORANGE,2.4,5,DOUBLE  SIDE FINISH,,,,,
10261,W,200MM*200MM*60MM,RED ,2.6,5,DOUBLE  SIDE FINISH,,,,,
10262,W,200MM*200MM*60MM,WHITE,2.6,5,DOUBLE  SIDE FINISH,,,,,
10263,W,200MM*200MM*60MM,GREY,2.5,5,DOUBLE  SIDE FINISH,,,,,
10264,W,200MM*200MM*60MM,ORANGE,2.5,5,DOUBLE  SIDE FINISH,,,,,
10271,BW,250MM*200MM*60MM,RED ,4.2,5,DOUBLE  SIDE FINISH,,,,,
10272,BW,250MM*200MM*60MM,WHITE,4.4,5,DOUBLE  SIDE FINISH,,,,,
10273,BW,250MM*200MM*60MM,GREY,4.1,5,DOUBLE  SIDE FINISH,,,,,
10274,BW,250MM*200MM*60MM,ORANGE,4.1,5,DOUBLE  SIDE FINISH,,,,,
10275,BW,250MM*200MM*60MM,DARK GREY,4.3,5,DOUBLE  SIDE FINISH,,,,,
10281,BARFI,250MM*200MM*75MM,RED ,4.2,5,DOUBLE  SIDE FINISH,,,,,
10282,BARFI,250MM*200MM*75MM,WHITE,4.3,5,DOUBLE  SIDE FINISH,,,,,
10283,BARFI,250MM*200MM*75MM,GREY,4.1,5,DOUBLE  SIDE FINISH,,,,,
10284,BARFI,250MM*200MM*75MM,ORANGE,4,5,DOUBLE  SIDE FINISH,,,,,
10291,3D SINGLE LINING,200MM*200MM*60MM,RED ,2.9,5,DOUBLE  SIDE FINISH,,,,,
10292,3D SINGLE LINING,200MM*200MM*60MM,WHITE,3.1,5,DOUBLE  SIDE FINISH,,,,,
10293,3D SINGLE LINING,200MM*200MM*60MM,GREY,3,5,DOUBLE  SIDE FINISH,,,,,
