CODE,NAME,DIMENSIONS( MM),COLOUR,WEIGHT / Pcs ( KG),NO OF PIECES PER SQUARE FOOT,NO OF PIECES IN BOX,SQFT IN BOX
14001,ROMAN PILLAR 1,"24"" X 95 MM",WHITE,7.5,,,
14011,ROMAN PILLAR 2,"24"" X 95 MM",WHITE,7.7,,,
14021,ROMAN PILLAR 3,"24"" X 95 MM",WHITE,7.8,,,
14022,ROMAN PILLAR 3,"24"" X 95 MM",RED,7.9,,,
14031,ROMAN PILLAR 4,"24"" X 95 MM",WHITE,5.3,,,
14041,COPPING,"24""",WHITE,7.2,,,
14051,RECTANGLE LOCK,230 MM X 60MM X 60MM,WHITE,1.4,,,
14052,RECTANGLE LOCK,230 MM X 60MM X 60MM,RED,1.4,,,
14061,ROUND LOCK,230MM X 60MM X 60MM,WHITE,1.3,,,
